ObjectID,Title,Classification,Year,Epoch,Movement,Medium,ImageURL
9079.0,Plate (folio 6) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c4b2cc0dd3d02bf8
9080.0,Plate (folio 8) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f86728d297f7ad5d
9081.0,Plate (folio 10) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9f089fe1ce658fb7
9082.0,Plate (folio 12) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=93867b9c10d01d55
9083.0,Plate (folio 14) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0149d6c5efba69f2
9085.0,"The Departure of Orpheus from his Mother (Abschied Orpheus' von der Mutter) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)",Print,1909,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Lithograph,https://www.moma.org/media/W1siZiIsIjExNTU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dd4098a8655e7df1
9107.0,"Orpheus at the Shore II (Orpheus am Meer II) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)",Print,1909,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Lithograph,https://www.moma.org/media/W1siZiIsIjExMjg4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ba48f4916f128b07
9119.0,"Untitled anti-German propaganda poster from the First World War, (""The Battle of Sokal"")",Print,1914,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Lithograph,https://www.moma.org/media/W1siZiIsIjI0NzMyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c43b099dd9f63ad
9120.0,Untitled (Futurist Landscape),Drawing,1913,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Pen and ink on paper,https://www.moma.org/media/W1siZiIsIjUyOTk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4245244f5d10a811
9162.0,Vil'gel'mova Karusel' (Wilhelm's Carousel),Print,1914,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Lithograph,https://www.moma.org/media/W1siZiIsIjIxMDAyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5b165179ed1dad30
9226.0,Maquette for illustrations for Solntsa Potselui. Stikhi (Kiss of the Sun: Verse),Drawing,1914,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард","Pastel, gouche, and ink on cut-and-pasted paper mounted on cut and pasted green construction paper mounted on red construction paper",https://www.moma.org/media/W1siZiIsIjI0ODEzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8576a41a5827e62f
9370.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c9ea5b64b4ecefbc
9371.0,Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE5MjIxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4e02bf479b7dc05e
9372.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=122001c03d2d57f4
9373.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=17417d347d4ae5a6
9374.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d36a6f047b267389
9375.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=914ec9b5d056508c
9376.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7aeede19579a69c1
9377.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE4OTgyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ff159c0ab92bb0a7
9378.0,Untitled from Found Masks 1975–1978,Print,1975,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",One from a portfolio of 29 photocopies,https://www.moma.org/media/W1siZiIsIjE5MjIxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e1e8f473be364bd
